	PT0	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT17	PT18	PT19	PT20	PT21	PT22	PT23	PT24	PT25	PT26	PT27	PT28	PT29	PT30	PT31	PT32	PT33	PT34	PT35	PT36	PT37	PT38	PT39	PT40	PT41	PT42	PT43	PT44	PT45	PT46	PT47	PT48	PT49	PT50	PT51	PT52	PT53	PT54	PT55	PT56	PT57	PT58	PT59	PT60	PT61	PT62	PT63
RTN2	3.6820936	3.779	5.3417	-1.0214665	0.01808849	4.182255	2.5515	-5.1489	-4.80695	-2.589619	-1.7546	-0.413	0.345	-0.306	0.60683584	-3.77445	1.7503	-0.5814	0.2136	0.33789998	1.6675	-1.8914	2.49155	-0.8920181	0.87693024	-0.8627	-8.1337	0.0013	-1.7910328	1.2944499	0.59136045	-2.8075092	-0.0024	-0.029	-0.5799	-6.1987	-3.7283	-0.37055004	-0.91935	-0.1682	-0.8153	2.1461	-0.083349995	1.7838	-0.06575	-1.7791001	-0.2507	0.5641	-0.7908	1.7175	-0.5813	-6.3272853	7.491	3.8303	5.2002497	10.0	4.4286	1.2081413	1.4293203	1.604595	-1.6837	-0.7839	0.3297	-0.397
IL2RG	-0.021045089	1.4014	4.7241	5.5154085	1.562259	2.710385	2.7071	-0.47	1.73615	0.4471495	-0.973	1.7579	0.3767	1.7857499	0.28160873	6.0715003	4.33665	-0.7538	2.087	3.5501	-1.357	2.5899	3.3707	1.3920262	-0.027240146	-0.4	1.1847	4.4485	0.18426773	1.54865	2.0278115	2.2315311	1.2657	2.4292	2.1466	4.4385	3.9169	2.6296	4.3737	-3.0202	2.512	6.7519	-0.37739998	4.9862	0.17675	0.52175	2.5985	1.9926	4.0698	1.54005	-1.68685	3.8020227	0.9496	2.8168	1.2906001	2.38025	1.7963	1.827975	1.6743867	2.885163	1.4495	4.8756	2.2533	-0.1612
DBT	6.0292444	4.1004	4.548	0.11102694	-0.12787333	4.132948	4.0713	1.8135	-1.88925	-0.806013	-0.409	2.9434	-0.1708	0.978	-0.089416966	2.06325	4.7687	2.2591	3.7527	5.89465	0.5841	-0.9748	3.7687502	-0.374713	2.9939156	-0.8285	-1.3808	4.3547	-0.7468226	4.9298496	1.661614	2.1844893	-0.6673	-1.1771	-0.9974	-2.5086	0.2116	-1.51455	2.18415	2.9349	-0.8344	-0.3415	4.8666	8.272	4.02495	4.17525	2.483	-1.5994	1.2285501	0.399	-0.02139999	-1.8696542	2.86385	1.74915	2.0715	2.58715	1.6011	1.477894	-0.038381547	0.120656535	5.337	1.9081	1.6993	2.1615
EGFL7	2.1226282	0.7393	2.2757	-0.38056388	0.92154187	2.4163117	1.6632	-3.8337	-0.3365	1.5819564	-0.606	-0.0287	-1.7287	1.84815	-0.5058947	-1.02725	-1.78835	1.2346	0.6724	0.51185	1.8262	-1.0633	2.8263	2.1255736	0.681951	-0.4897	-3.2389	3.7048	-2.294591	2.49185	0.53548247	2.4882982	-1.8973	0.6181	-2.2441	0.8945	-1.9906	2.50175	0.88345003	5.2931	-1.0113	2.4542	3.344	0.3152	1.8819	5.0609503	-0.6518	-0.4628	0.92149997	2.1066	1.3440499	-0.90245855	1.4266	1.33135	0.6383	1.9626501	1.7214999	-0.37646425	0.0544471	0.61515814	-1.6134	1.4797	1.267	-0.5043
PIH1D1	1.1490595	5.0689	1.6938	1.5785751	0.024667935	1.6788645	-0.6586	-0.6838	-5.2788	-3.6918252	-3.7001	-0.0926	-1.4233	0.65325	0.032258008	0.11585	0.94269997	-0.9096	-0.2203	0.14545	2.8667	-0.2521	1.63685	-0.8667452	1.3438052	-0.1716	-5.8342	9.0031	-1.486438	2.78685	2.3125877	-2.6786025	0.3592	0.6184	2.2371	-3.0639	-6.8409	-2.22025	-0.33860004	-1.2895	3.8645	0.2839	1.6319	-3.7846	1.2972	-1.523	-0.6806	3.8336	-1.4681	-3.3677	-1.77145	-0.58253264	0.27565002	0.48680001	-2.5744	-4.5703998	-5.26355	-3.0122557	-2.3264382	-3.112101	-0.7028	-1.5471	-0.0404	-0.7806
HNRNPK	0.48187736	-0.7987	-2.4023	-0.39118794	-2.4505544	-1.7693257	-0.8519	-4.199	-4.7932	-2.248267	1.3057	0.9869	-1.2315	0.31325	1.1303287	-2.76355	-4.6558	-0.0338	1.506	-1.00515	-4.6053	-3.851	1.21585	-1.8803759	0.5076517	-2.7381	-6.1612	-3.4027	-6.801237	1.6677	0.98257077	-2.7079778	-0.5094	0.2176	0.2166	-4.1569	-5.8087	-2.7167	-1.09175	-0.4722	-2.9948	-4.6057	-1.93625	-0.1956	-0.4425	-2.40065	-2.5519	-2.6187	-0.5737	-3.50275	-3.4102502	-3.701018	-0.65755	-0.8014	-1.29575	-3.31475	-0.41540003	-3.075096	-2.6740298	-2.0211635	-7.5162	-0.5381	-2.649	0.5593
IL1RL1	4.0910287	3.2864	1.5763	1.8940933	0.9503277	2.7251961	5.807	3.7813	1.8722999	2.0886397	-1.338	-3.484	-3.183	-0.6368	0.08561911	0.01609999	4.4079	-2.4576	0.0289	0.93855006	-1.1129	1.0608499	1.5144	2.5674367	0.9756497	0.575	2.3394	0.022	3.1680717	1.5701001	0.29027352	-0.82327205	-1.5372	0.4675	1.3219	-3.3993	-1.3463	-0.046900034	4.97855	1.3552	2.1713	-0.3056	4.35565	4.5406	3.6027	4.1673	-0.4417	1.6871	3.115	4.25055	2.24965	-0.43135867	0.82	1.6571001	2.41445	2.2582998	4.0363	-1.2432388	-2.3353906	-1.0187511	-1.7985	-0.159	4.1577	-0.8642
HSP90AA1	-2.7210574	-2.3895	-3.3888	-2.045797	-1.6295565	-2.926758	-1.858	-2.0892	-1.9783001	-0.699935	0.7222	-0.5176	-3.474	-1.86665	-9.361795	-6.10545	-0.94960004	-2.2829	-0.4877	-5.2578497	0.8457	-3.3816	-2.8831	-1.4201193	-0.87446177	-0.0693	0.8111	-6.556	-2.1764379	-3.3265	-2.6208837	-3.5624807	0.005	-0.5967	1.1416	-3.6966	-0.7541	1.8288	-0.6406	2.0276	-3.9156	-3.8169	1.2226499	-1.3219	-1.5069	-2.3764	-1.6104	-1.0755	1.9467499	-1.81505	-0.83	-1.2706573	-3.2579498	-4.42835	-4.76275	-2.2437	-4.66415	-0.99605393	-0.86626387	-1.1148618	-7.2646	-2.1521	-6.3401	-2.1993
ERLIN2	2.3745825	-0.3764	1.5695	0.40347356	-2.6322193	1.2155261	2.5703	-1.8966	1.6197	0.24662608	0.3725	-1.8529	5.3438	0.52535003	-0.05114778	0.60840005	0.88145	-0.2422	0.5584	0.45334998	1.1175	2.1305	2.3729	1.0867343	2.3741722	-0.858	-0.0681	-2.2613	1.3151282	1.59255	1.8138402	-1.1830962	0.0087	-0.9539	1.8133	-2.2577	5.5393	0.65575004	4.3800497	2.7557	0.6264	1.912	1.98085	-2.979	-0.82570004	-1.3292999	-0.1223	-1.0604	-2.2144	0.3966	0.8219	1.8010783	-1.67975	-1.54145	-1.2402999	0.0837	1.3601999	1.1799761	-0.6926633	0.791632	-3.3748	2.0227	-0.8107	0.8318
MED13	-1.4976248	0.521	0.5831	-0.7395553	1.6601455	-0.27614808	0.7772	-1.037	0.40419996	-0.4397813	-1.9308	-1.0729	0.4917	1.3814499	-0.38348225	0.50135005	-1.67425	1.1836	-1.5161	0.55565	-2.0678	0.43154997	-0.86399996	1.8523142	-4.805023	-1.1249	-2.1389	0.5003	1.0337569	-3.1036	-4.5888295	-3.3241587	2.0319	1.5851	-3.9662	-3.9263	-3.3422	-2.9327	-1.68385	-0.6972	-5.034	3.5321	-1.8262	-1.1581	-0.5929	-3.9770002	-0.4939	0.9422	-5.1636	-0.5359	-0.56240004	0.7643963	0.43704998	0.2859	-0.3171	0.20479995	-0.7185	-0.29211894	0.1726309	1.6184306	3.5954	-0.4267	3.3792	0.0955
ACAD8	1.0810031	1.7796	3.9967	-0.8037448	0.8821181	0.9834689	3.896	-0.0725	-1.5091	-2.034365	-1.3361	1.2535	2.7535	-2.10855	-0.69278723	2.35185	2.03775	1.4965	3.3438	1.8371501	3.0281	0.06975	1.73	-1.9665369	1.631717	1.133	-0.3415	0.0884	-1.3883102	1.26085	2.203714	-0.052963465	-1.4729	-2.5343	-0.9241	1.15	0.5808	0.80034983	1.0867499	-1.2273	6.0485	-0.7969	-1.60015	-0.6266	-3.02295	1.46455	0.3292	1.6318	1.83615	-1.1187	-0.64725	1.3562055	1.84295	1.3999	1.66705	1.31675	1.90005	0.9019165	1.0241024	0.9379983	-2.4461	2.1609	1.3411	1.3387
HNRNPA2B1	-0.98285544	-2.7882	-6.2855	0.8382714	-2.4944203	-4.8165126	-0.8816	-3.3758	-0.18059999	1.0997325	0.7827	0.4326	-2.3064	-0.17250001	-0.099796236	-0.75475	-3.00435	-3.1625	0.2393	-2.0908499	-3.089	-2.58595	-1.7681501	1.6843439	1.0380495	-0.5163	0.4079	-7.2796	2.212633	-1.68745	-1.1477637	-1.5931921	0.5384	0.0145	2.2785	-0.4323	-2.3547	1.4262999	0.73969996	1.4421	3.7044	-0.7276	-0.79034996	-1.5296	1.3792499	1.0027	-1.0274	1.1593	-1.0798501	-0.76235	-1.6415	1.0945301	-4.5788	-3.9844	-6.1668	-6.7383003	-5.75045	-4.3101225	-3.4492922	-3.781941	-2.5417	-0.9112	-2.3694	0.4038
ZBTB38	0.1087475	-2.9835	-1.7077	1.392783	0.17148641	-1.8633176	0.3835	-0.4636	1.62315	3.2750146	0.8251	1.466	0.5248	1.1581	2.6790268	0.4274	-1.7802999	-0.5942	-3.5519	0.2443	-0.2071	0.67675	-0.433	-1.4886192	-1.8545691	-0.2641	-0.2505	0.6272	5.1571026	-1.7631	-2.07237	-0.46901652	-1.7042	1.3122	-0.5619	-1.6622	-0.4417	-1.57515	-0.7631	-2.117	-0.3625	4.0779	1.7405	2.2636	0.96059996	1.5657499	2.4034	-2.6146	1.19015	0.4382	2.2942	3.7248356	-1.6384	-0.84425	-1.94445	-1.35065	-3.2663498	1.6610994	1.9204559	1.1194364	0.9737	-0.4868	1.4786	-0.5506
E2F8	-0.8824336	-0.1311	2.2476	4.1931458	-0.90634763	1.1936079	1.7192	3.4365	0.32490003	1.0853052	-0.2781	-2.0442	0.8489	2.3093	2.957331	1.94715	3.84045	-0.1501	-1.0274	4.0299	1.3674	3.685	0.61795	3.5472348	-2.850532	-0.8416	-4.1552	0.1526	3.4419944	-1.3559	-1.0124574	2.3493893	-0.8457	-0.675	-0.8128	3.5817	3.0206	0.21365005	-0.081799984	0.9935	-5.0331	0.0197	0.6782	0.9137	0.80740005	3.0026002	0.4571	0.5766	-0.72455	3.668	0.52129996	1.3015003	0.3617	0.06270002	1.4547	0.49875	0.34445	-1.3781526	-2.852674	-2.2097855	1.7264	2.5037	0.1217	0.1822
PPP1R11	2.8155699	3.1649	2.8934	-2.6054351	-0.83988154	3.748843	3.4359	-1.971	-1.22365	-4.782143	-0.0088	3.7176	-0.6228	0.44489998	-0.2573835	1.1485	-2.2628	1.5867	3.1019	2.07	-1.0629	-0.19235	2.2292	-2.6384323	3.5052083	1.0199	0.3444	-2.0962	-1.3861362	0.28314996	1.9999095	1.6358178	-1.1294	-0.621	0.2043	0.7639	0.3106	-1.27415	-2.24235	-3.7539	-1.0814	-2.0299	-1.7667501	-6.218	-1.1705	-1.05295	-2.9412	-2.4956	1.9482	1.68245	-0.21399999	-1.1071517	1.6657	1.5552001	-0.3143	1.76365	-0.8921	4.1020484	3.2532852	3.9139252	-4.0193	-2.0799	0.1645	1.8297
VAMP3	0.53684855	0.2953	-2.241	-1.0139451	-0.2673601	1.1452285	-1.9398	-3.4556	-2.7468	0.39374408	1.017	0.4906	1.9163	-4.84875	-3.8377326	1.4779999	1.9047999	2.2652	2.9208	-0.6624501	0.4516	-2.427	0.33345	1.0455132	3.1370497	-1.1662	-4.4888	-2.4391	-3.1659937	3.2982001	3.3532238	-0.8575822	1.4933	-1.1879	0.7402	-1.4324	1.9047	-3.5673501	-2.9213	1.4087	-0.2567	1.5824	-2.0914998	2.9475	-4.42295	-5.0226502	-2.2201	-3.7755	0.91375	1.0962	-4.23005	1.1895909	0.58709997	1.5127001	-1.4358499	-2.8144	-1.9406	1.1582245	1.3092688	0.07928544	-2.8957	-4.1769	1.7681	-0.3496
CRK	-2.52648	-3.3377	-4.1514	-6.146484	-0.39888066	-6.050413	-3.5336	0.9739	1.85965	1.2095314	1.3649	-3.6839	1.1789	-8.3637	-9.277145	-2.23835	-0.2516	-0.2905	-5.5728	-1.20035	-0.3434	1.39905	-8.32315	-5.395899	-5.2760305	-0.7067	5.0261	-9.6063	2.294363	-10.0	-7.329524	-0.5129372	-0.3305	1.3812	-5.1756	-10.0	0.6564	-10.0	-7.84725	-10.0	-0.4566	-0.583	6.03745	2.7882	3.2930002	1.33915	-4.005	-2.1441	1.25365	-5.8451	-6.89325	-2.6682897	-1.8728001	-1.7909	-3.13695	-2.8628001	-1.93315	0.48069167	0.03939215	0.97960424	1.8133	-5.9991	-8.1336	-0.3606
PDS5B	1.5673044	2.6694	3.6629	2.9550261	-1.4869609	3.1731167	3.2917	4.142	1.55655	0.59458727	-0.1835	1.8213	-2.4173	2.8004498	2.1098592	0.44225	-0.25119996	2.6193	-1.9291	1.73515	1.0405	-0.19870001	1.8998499	2.394108	-0.85815746	-1.6626	-2.603	-1.2127	-0.3414705	2.98495	0.1141936	4.698312	2.1424	-2.0291	1.1451	2.4535	2.4436	2.1964	5.03435	-1.9203	1.5332	-0.2969	-0.5379	1.4628	-2.26865	-1.45595	0.1902	-0.9466	-0.0923	1.1710501	1.26275	0.4147455	-0.26305002	-0.5026	1.432	1.80995	1.1491	0.016417295	-0.83299243	-0.7011938	4.0076	4.6049	3.921	2.8444
RAP2B	0.08762649	-0.8354	1.1561	0.017273739	3.4919472	-0.5680901	2.4696	-1.0247	0.16534996	0.81934804	-0.258	-0.7809	-0.4288	3.09675	2.2229125	-0.15460002	0.96720004	1.9988	-4.0125	2.43355	-1.4062	0.14070004	-3.2969499	0.65547585	-3.0479252	0.1813	-2.23	-0.1172	-0.604579	-2.24845	-2.3939714	1.606169	-1.1976	0.536	-0.8028	1.0621	0.1396	-0.80075	-1.6842	1.9355	-4.4633	2.0144	1.147	-1.512	-1.2362	-0.38145	-0.4812	-2.4796	1.1777	2.29515	1.4066	1.6050222	4.16225	1.9493	1.63195	2.7424498	2.2024	0.50188106	0.90714103	1.0667834	1.2107	0.0223	0.6487	-1.5574
TRIM15	4.123827	5.1527	5.1935	4.0375237	-0.780938	4.3408136	4.1169	4.2608	-1.9547	1.0674492	-2.476	1.1828	-1.6844	3.3111	1.2153947	4.23615	2.4837499	1.263	0.8613	3.4337502	-0.3382	-0.0051499903	3.7241	2.8105385	1.0686611	-0.8341	-1.4561	6.5102	-0.42172265	4.30295	1.2809683	0.669078	0.7085	-1.7486	1.0033	2.1973	4.284	2.7207	4.5483	0.6587	1.8684	0.4344	2.1327	4.1824	2.3411	1.8719499	0.7359	0.6338	0.63525	3.8513	1.4643	0.7353266	3.30735	3.6989498	3.99085	1.9442501	3.46195	0.8498123	0.06949648	0.96731585	-0.3223	1.4897	2.211	-0.5669
AP2M1	0.08904055	2.4851	-1.0703	-2.0630133	0.090940565	-0.020301282	-1.3817	-0.6489	-1.989	0.36843303	-0.2895	-0.3215	-3.1942	1.1807001	-1.0833726	-3.35415	-1.7593	0.6022	1.3775	-2.91695	-1.8645	-2.17775	-0.7294	0.9758597	1.4051402	1.3028	-1.5713	-6.1156	-0.8274737	-0.31935	0.91561174	-2.9365668	2.0292	-1.0184	-3.1635	-1.6459	-2.2074	-4.14005	-1.4027501	-0.5033	-0.8592	-1.5452	1.5158	1.0859	0.1915	-2.4881	-0.7754	-1.839	0.90914994	0.6946001	0.45749986	-1.3520033	-1.537	-1.9275	-1.75835	-1.5122	-2.796	2.005798	1.9681948	2.1912076	-10.0	-0.7168	-6.2464	1.939
SHMT1	-0.8842792	-1.8576	-1.4978	-0.67289144	-0.103225395	0.6950327	0.9793	-1.109	-1.98425	-1.802306	-2.0287	-2.1409	-0.3917	0.6203	1.3034748	-1.65235	0.072049975	-1.8591	-0.672	1.8237	0.0716	0.020400003	0.93995	2.6998637	1.684206	0.8227	5.2973	-0.6099	-0.48095256	0.06505	1.8624036	-1.8714635	1.9145	-0.7589	1.6472	-2.2688	-0.4584	3.4352999	2.4045	3.2771	-2.5671	-2.1788	3.7963	0.1809	3.37465	5.80475	0.3414	1.3676	-1.1479499	1.5443499	0.98300004	0.46457928	-2.55975	-1.9263	-2.1487498	-1.8148	-2.48965	-1.2884988	-1.1538038	-2.6847446	1.5934	3.2093	-0.7773	0.3169
FCGR3B	4.2402687	1.1334	1.8643	0.6437055	-0.522189	1.384616	1.7398	1.5844	0.0467	0.83015794	-1.368	0.8745	-2.4776	1.1788	0.854677	-1.90715	0.60120004	-0.3524	1.5896	-1.1712999	1.604	3.2034998	2.23145	4.3369102	-0.1453889	-1.1538	3.0066	1.4549	2.114923	2.6505	0.1311189	-0.43793762	1.5882	-0.2465	-1.0442	1.6531	4.6964	-1.2072499	-0.6444	3.3354	2.3357	-0.7634	2.6272001	3.0438	2.6891	6.54185	-1.8616	-2.5292	3.9783	3.8547502	2.2153502	2.2685175	-0.38709998	-0.71344995	-0.13414997	0.04509999	0.93495	0.12232065	-1.1098807	0.11092866	2.15	-1.3644	3.1178	-0.167
VEGFB	6.54251	1.8524	3.3561	-3.1423128	-1.0436785	3.2804828	1.865	-2.5763	-1.7283	0.6032661	-0.7482	-2.9007	-0.4751	-1.32325	-2.78542	1.5060999	0.44495	-0.9003	1.9515	-0.80895	-0.3969	-0.88365006	4.537	-6.4388924	1.4780558	1.4096	0.8477	3.4104	-1.7121453	3.52605	0.65006447	-1.5894215	0.615	0.0978	0.2673	-5.4742	-0.5161	-1.386	-2.27615	-1.2154	0.8147	-0.2606	-1.8651999	-3.4072	-1.61275	-2.8941	-1.7676	5.0471	-0.25735	0.50020003	-0.2773	-0.22535503	-0.43559998	-1.2731999	0.32090002	0.86485004	1.1637499	-0.3582857	0.40878698	-0.016904904	-8.1127	-0.5252	-1.7663	0.8478
ANKRD1	-2.2030537	0.818	1.5962	3.4790437	0.08688028	-0.7605829	1.2674	4.9642	2.38195	3.1408823	-1.7509	0.0	0.186	4.1849	2.4689217	0.02095002	1.48025	-1.9385	-0.3425	1.59755	-2.1427	1.7365	0.284	5.1270256	-1.423948	0.8226	-1.6148	3.4214	1.7889291	-0.12905	-0.86417323	-1.779062	-1.0221	-1.8528	0.0784	4.6987	3.3247	2.94765	2.8787	0.7672	3.3403	2.1027	6.4797	4.5094	4.67385	7.32415	-0.0377	-0.869	3.309	3.1727998	4.38525	4.4780345	2.8395	1.1963501	1.07595	1.17975	1.0248001	-0.5381284	-0.6888451	0.19009364	0.4737	1.3256	1.6695	1.0985
GPR137B	-0.014045119	0.6816	1.5118	-2.599693	-0.5588561	1.512214	2.1376	1.2683	4.7460003	4.3667903	0.8341	-0.4935	3.0363	-2.28885	-0.1778905	4.74965	1.71205	1.933	0.589	-0.5636	-0.641	0.66504997	0.40725	-2.8191187	-1.73159	1.1343	2.697	-5.0065	3.3159654	-1.2625	-1.5537401	2.348843	0.9101	2.77	-2.1465	-2.4665	0.5085	-1.87055	-0.4403	1.7665	0.4068	0.2619	0.24825004	6.0863	-0.91655004	3.4693499	-0.1848	-2.5087	-1.33425	-1.9518499	-2.81295	-1.8364033	1.6084001	1.3473	3.3636	1.58015	2.479	0.56100756	1.3167692	0.6999312	-2.0247	0.3995	1.4454	0.451
WLS	4.347907	4.7773	2.2179	-0.9948509	-0.3465556	5.9495344	4.8457	-0.2257	0.0780499	-2.458157	-2.402	2.474	-0.4167	-1.8008	0.8575815	-2.15885	-0.46254998	-0.2471	1.8915	0.6859	0.9877	-3.34955	4.9723997	-0.34006292	1.3643768	-1.2507	-0.1486	0.6745	0.07234037	3.2129	0.92152596	1.2335979	-0.4666	-0.5056	-1.3107	4.3001	-1.294	0.36599994	0.20550004	1.6752	0.6953	-2.3071	0.068	-1.4977	0.96340007	1.6656001	2.7987	3.6999	2.0310001	1.6617001	-0.36955	-1.5689464	3.3118	3.6655002	2.2315502	3.00155	3.0955	0.6967328	1.9538164	2.1860325	0.3901	-1.3731	0.4702	0.0831
GABPB1	-2.95232	-1.1196	-2.2427	0.03305079	-1.2538189	-2.2611208	-0.258	2.7303	0.99675	1.0403571	1.0357	-1.9072	1.3452	0.1623	-0.18016544	3.91945	0.95645005	-2.3116	-3.6077	1.2987	1.3236	1.8823	-4.1548	0.8365244	-6.169613	0.0	3.5267	1.0846	2.2631202	-10.0	-8.672648	0.13309586	1.7706	0.6589	-1.3913	2.0454	-3.8981	0.27729997	-0.69745004	-2.8541	1.3941	-0.9162	3.2192998	-1.784	3.43365	2.16685	0.825	1.3069	-0.8528	-3.4534	-1.5577	-0.7465079	-2.7809	-3.44295	-4.70625	-5.17735	-5.35175	-1.917067	-4.0300865	-4.6833544	7.9652	5.1473	-6.4166	-2.1201
AP2B1	0.5671993	-0.267	0.3869	-1.0025705	0.40385044	0.7943667	3.4509	1.049	0.16624999	-3.839529	-0.8669	1.2625	0.4398	-0.1523	0.6384296	-0.3132	-2.39415	-0.4951	2.2288	2.1525002	-1.9198	1.36595	2.63525	-1.6937728	3.0348082	-0.5051	-1.1068	-0.216	1.259461	3.64065	2.8860645	0.46602762	-0.6117	1.9955	-2.8639	1.8138	-1.756	0.75940007	3.7065501	-2.1402	3.898	0.4023	-1.5387499	1.7283	-1.0604501	0.7356	-2.6604	3.5441	2.63285	3.11465	0.19990003	0.49321264	2.23075	2.8224502	2.3649502	3.7361498	1.8271501	1.5769953	2.5961113	2.0622764	0.835	3.3617	4.0854	0.3781
PIGA	0.86200404	1.3012	2.2899	3.124589	2.1586385	0.54388916	1.2331	3.4323	0.33064997	-1.5424933	-0.3424	1.5897	-1.497	3.4928498	2.6811	-0.8307	1.0783	-2.1246	-0.7124	3.82695	-0.8144	-0.75075	0.12120001	4.518923	0.06254807	0.1458	-0.9476	0.1919	2.8947804	0.1345	-0.4243209	4.9289746	-2.043	1.2108	2.3048	3.4984	5.1813	0.27535	-1.44075	0.2737	1.902	0.9011	-0.8026	3.4152	1.29375	-0.7041	-1.1554	-3.2718	-0.33280003	0.2741	1.9115001	4.144958	1.74785	0.7018	0.82275	0.2994	0.80404997	1.2163451	0.16508082	1.618089	3.2272	-1.5518	-0.8008	1.6095
ITK	2.8050885	1.9602	1.7771	-0.18777055	-0.37764275	2.829105	-0.0847	7.3912	3.6400502	1.6786788	1.1866	2.9073	2.4997	1.12745	3.984475	3.1358	3.31895	1.3468	-1.566	1.5127	0.8443	2.28965	2.37545	2.772888	-2.324797	-0.3947	2.4596	-2.0898	4.74569	0.9118	-1.1108146	4.2102094	0.9356	-0.3568	4.2534	4.3296	6.252	5.9353	4.17915	3.1174	7.6358	5.6782	-1.8069	5.1359	-0.22405	1.4524	2.1134	3.0003	4.5056	1.5129	1.0016999	4.564261	0.13314998	-0.21505	0.7292	-0.15849999	2.0195498	-0.8803798	0.5469312	1.0759928	-0.449	5.649	4.3433	1.73
LAMTOR2	1.6939771	0.4774	1.7203	-3.0901537	1.0561545	-2.869853	-1.8479	-1.7757	-1.07985	-2.069125	-0.3025	-1.4223	1.3078	-2.9115999	-4.2548943	-2.8099499	-7.3224	-0.3255	0.4602	-3.37635	-0.2058	-2.31835	4.0174	-3.2775192	2.7299	1.0141	-0.7179	1.3397	-2.718352	2.1862998	2.3329654	-1.369987	-0.7785	-0.6474	-2.638	-0.7202	-1.1329	-2.56065	-1.2453	-2.5413	-4.4444	-2.3122	-4.61235	-4.649	-5.3557997	-7.10155	0.7064	-3.6595	-0.68694997	-0.67675	-1.1565	-2.113873	1.0352	1.8355501	1.4911001	2.0981	0.9566	3.0715256	2.8931806	3.921785	-4.1843	-2.3003	-3.9379	0.1387
IKZF3	3.9593308	6.6362	6.2429	4.3782973	-1.1633934	4.688526	4.0929	6.2262	3.44845	2.3896086	-1.2824	2.837	1.5098	4.16545	2.6982934	4.5882	3.2892	0.2333	0.6302	0.75465	1.2913	3.4571	4.61205	6.013902	0.2158579	-1.1597	1.3338	-0.2789	2.7210824	3.97635	0.7194354	2.4974306	-0.1373	-1.7975	1.7696	5.2937	3.3523	5.0349503	6.8981495	1.4438	7.3787	2.3852	3.75925	2.4947	2.75545	3.65	0.8404	2.3486	3.9299	6.2468996	3.7347	1.5069458	2.4172502	1.9329	3.0973501	3.1841002	2.7887	0.07997063	0.426813	0.5113082	-0.0567	2.3375	2.5251	0.7338
FLT4	5.093733	8.8898	7.596	4.098204	0.6884414	5.2714906	3.0977	5.697	0.15329999	-0.9390916	-1.1892	2.3489	-0.7432	4.1447	1.6010371	4.3210497	0.19085002	0.0622	2.6433	2.0042999	0.8487	0.098450005	6.6141996	2.110794	2.790513	-1.3524	-1.7408	-0.3887	-0.6490646	6.29695	3.4370208	0.85478115	-0.4003	-1.9996	-1.5913	5.8734	2.7159	0.6723	1.49085	-0.804	3.5056	0.3694	2.77895	2.3913	1.47525	4.1405	-0.227	0.2547	2.8420498	3.91365	2.31495	1.4659424	3.0317001	3.6648002	3.1616	2.9351501	3.5173001	2.6970425	0.1150755	1.6976197	-1.6736	0.4323	0.8947	-1.0119
HSPA1A	-2.9374087	-10.0	-5.1471	2.8494296	-0.2272495	-6.817203	2.2327	-6.3393	-0.012199998	-0.32983106	0.0803	-2.2399	1.1512	2.7948499	1.1645184	-1.2149	-0.9722	-0.4459	-5.1259	2.40635	-1.2889	-0.21370001	-6.9719	-2.3945587	-2.4490335	3.5191	-1.2807	3.8358	-0.8291091	-6.26655	0.13338274	-1.4466342	0.1189	0.3574	0.0	-0.365	-0.9231	-3.87155	-5.24105	-6.6446	-2.1002	2.111	8.14215	5.511	6.0209	7.87945	-3.6083	-8.5981	-0.96360004	-0.62485003	0.0052500963	1.7377471	-0.19615	0.34675002	0.6045	-1.35575	0.88855	-1.30477	-0.7003684	-0.5874337	-1.403	0.1784	-1.2283	-0.0385
SLC35A1	5.1525817	4.9644	6.9928	-0.32218078	0.94213253	5.8672066	2.1118	-2.2103	-7.52685	-8.075999	-3.0787	-2.8097	2.2046	0.14639997	-2.401579	1.1004001	-0.20390001	4.6606	3.5763	-0.012899995	-1.5771	1.9705	2.8710501	-0.52464825	0.5152271	0.6347	-1.9838	-2.1906	-5.1162477	-3.9457	-1.189777	3.0595176	1.3395	0.1891	-1.3782	2.5678	-1.0007	3.0481	2.46615	1.3389	1.3101	2.2387	2.96775	0.2465	0.24830002	2.7935	0.3402	1.9517	-2.7465	0.3867	0.77515	0.16700496	1.5924001	0.49120003	4.5044003	1.83145	4.2941	-1.1638266	-0.28032532	-2.6017344	10.0	9.3278	2.1648	1.1758
TAF1A	2.9208798	1.9267	3.4589	1.4252436	1.9719684	0.58797145	2.0863	3.6944	-1.3813	-0.14811032	-0.311	-3.4133	-1.8153	2.58365	-0.17618509	1.4228001	4.7937	0.0443	-2.6197	3.32735	-0.2104	-1.1464	-0.5877	1.9943111	-2.119001	-0.7998	4.3244	0.419	1.3096629	1.5081	-3.7661076	3.3012664	-0.5677	0.0065	3.8564	4.7171	3.4245	1.64775	0.97789997	0.3557	3.4144	-0.7345	4.6801	6.636	6.2591	3.5825	1.0174	0.551	0.12505001	1.2332001	5.18145	1.9700698	1.8018	0.7242	2.5069	0.81705004	3.1488	-1.3027102	-1.8510977	-1.4707606	-1.6201	0.1507	1.6978	-1.2494
