	PT0	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT17	PT18	PT19	PT20	PT21	PT22	PT23	PT24	PT25	PT26	PT27	PT28	PT29	PT30	PT31	PT32	PT33	PT34	PT35	PT36	PT37	PT38	PT39	PT40	PT41	PT42	PT43	PT44	PT45	PT46	PT47	PT48	PT49	PT50	PT51	PT52	PT53	PT54	PT55	PT56	PT57	PT58	PT59	PT60	PT61	PT62	PT63
TICAM1	-4.0575175	-4.7005	10.0	-0.43909067	4.3295717	-1.3434774	0.2127	4.2606	2.17585	2.4034085	-0.9149	2.6476	4.274	0.17119999	-0.21697658	-0.088150024	-3.3086998	-4.003	-1.7295	1.71035	-3.8516	4.1138496	-6.21055	0.71751773	-3.055977	4.1246	0.0976	-2.6798	-0.44072345	3.7677	-8.033843	-1.0451803	-1.6052	0.1333	2.015	-6.7629	1.8774	-2.91155	2.9520001	-2.3173	7.5706	-1.0807	-1.65575	-0.7814	-1.53335	1.3413	6.43	1.9791	-1.81935	-1.4801	9.5708	-1.1894572	-1.06295	0.4327	-0.4245	0.15805	-0.9985	4.14998	5.3110642	6.305605	2.3267	2.2152	-1.7802	-1.6672
VPS4A	-2.0232267	-2.6206	-2.9048	-3.9357574	0.58984625	-3.7965071	-0.3104	-4.1428	-1.7906001	-0.8882609	-0.0981	-0.9682	1.2991	-3.2621999	-2.8708794	-2.0358	-4.7176	1.1013	-2.8986	-1.38485	0.2276	-1.1711	-2.5897	-2.640005	-0.8245324	0.2552	-2.2187	-5.8877	-1.4707248	-2.9165	-1.6869895	-0.3721304	-1.2863	-1.8166	-4.9446	-2.494	-5.5695	-4.3689003	-4.5479	-3.7837	-0.0302	0.1242	1.1565	-2.6843	-1.5696001	0.20569998	-2.0729	-3.9699	-0.43194997	-1.9957	0.34824997	-2.7852716	0.34845	0.89779997	-0.5796	-0.74999994	-0.07159999	1.8153777	1.7502465	1.9390574	-4.0111	-0.4808	-2.128	-0.4612
ENPP1	2.818171	1.7133	6.301	0.049417168	-1.3941909	4.405368	1.6872	4.1451	3.4013999	4.027149	-1.0379	0.0881	4.115	1.4143	2.6900163	4.39975	0.7216	-1.3806	1.268	0.1427	-1.1517	4.93915	3.2263	0.67460585	1.3448925	-0.8391	2.0196	4.3991	5.5565653	0.58535	-0.07704826	-0.083879694	-1.2403	3.0507	0.6537	2.6616	2.3141	5.1508	3.5824502	1.9255	1.0353	6.237	0.15599996	2.3477	2.4700499	0.24610001	0.2459	3.257	-2.463	-1.6184001	0.6781	2.22666	0.55615	-0.09869999	0.94659996	-0.9858999	0.82455003	0.10845914	-0.85607016	0.09197194	2.5468	-2.3858	2.4797	-0.156
PSME4	-2.4262824	-1.9365	-2.1198	-0.4897521	1.2918003	-3.8274155	-0.945	4.426	-0.9168999	0.4082924	-0.0725	-0.4769	0.7633	-0.16660002	-0.7848373	0.05974996	-1.8583	0.5104	0.1599	-2.0001998	0.5007	0.88815	-0.88975	-0.057111017	-0.76078194	1.335	-1.1563	-5.0089	2.7788794	-0.55645	-0.37841928	-3.652567	-3.5184	0.4476	1.5535	1.9323	-1.2014	0.46635002	0.39835	3.0907	3.2301	0.9133	-1.26775	-0.9407	1.6157501	-0.6424	0.5284	0.3887	1.91005	1.7451999	1.9320999	1.403811	-1.3311	-1.8126	-1.99755	-2.3423	0.0019	0.62650466	-0.15826581	0.821427	2.9553	1.8064	-1.5683	-1.1246
CEBPA	0.19126475	0.1029	4.9763	6.335515	0.49198115	1.3390429	-5.0549	0.9421	1.5012	1.3554419	-0.127	4.3009	5.9923	0.5044	-0.31202057	2.6622	0.15079996	3.7299	-6.882	-1.71185	10.0	-2.2178502	-0.51225007	2.970705	-8.26994	5.1465	-2.8853	5.5574	0.40604562	-9.8116	-8.165824	2.1351228	1.2944	0.8231	3.0402	-0.0939	5.5163	10.0	5.0472	-8.7117	4.3887	-1.0347	-7.24755	-6.1602	-0.5746999	-0.11474991	4.2248	9.0549	-1.90735	-2.8481	-1.4365499	-0.19067165	0.0011999905	0.75775003	-0.39305	0.3817501	-0.37774998	1.3709583	-3.1815472	-1.2733228	-6.3754	-2.3506	-4.6989	0.5273
PPM1F	-0.2490769	-1.3277	-0.1243	0.16515233	-0.6455399	-0.5376892	-0.8621	-1.2929	1.5910499	-1.3403715	1.3649	1.3195	0.2842	1.8348	0.6714865	-0.55795	-0.35109997	-0.5787	0.1211	-0.20325005	0.4523	0.7699	1.00625	2.148644	0.44075364	-1.3795	0.9701	-2.127	-1.172802	0.70624995	-0.66723895	-1.1235523	-0.5423	-1.4954	-1.3121	4.9637	-0.4259	0.03760004	-2.5900998	2.7196	4.0284	-1.5853	-1.8406501	-5.9811	0.84225	0.16284999	-1.2882	1.077	-0.22185001	3.2423	2.58125	1.8557904	-0.62149996	-0.60805	-2.8381	-1.59035	-1.57615	-1.162953	0.14309129	-0.5202924	-2.409	0.4296	-0.9487	2.181
CYP46A1	3.5730968	4.4027	2.0707	5.755135	-0.501233	3.1759028	3.7823	1.1154	0.8039	1.1595753	-1.8772	2.8639	-1.3818	1.7269	1.6638548	-0.36995	1.5559	0.4705	1.2087	3.18675	0.0186	1.1212	3.60995	2.834598	1.6077306	-1.9376	-1.6793	6.7149	0.11717935	3.3067	1.3325171	2.792501	0.1339	-1.1529	1.1138	5.72	4.1523	-2.30415	2.988	-3.0477	-0.4515	3.5692	1.79545	3.7075	1.8622999	2.32655	-1.0938	-0.4866	2.3901	1.9978	1.0715001	0.16765936	2.4696999	3.20325	4.6473	5.01375	3.3938498	0.67239904	0.31294006	2.6348665	2.4024	-0.2548	1.8637	-0.0495
MEPCE	-2.4546669	-2.8365	-3.9247	-2.1635547	1.2796912	-3.1621947	-2.2484	4.4014	1.3851	-0.20162174	0.6928	2.3	4.4415	-1.16985	1.669888	2.7942	0.92260003	4.6916	-4.5655	1.5619001	1.3245	1.7509999	-4.5057497	-0.041796148	-2.8901057	3.6735	4.6717	-0.9701	1.9021037	-3.9567	-4.337816	2.2688692	2.367	0.5828	-4.2589	1.9766	-3.7676	-3.34145	-2.80965	-4.0275	-0.1673	2.2494	1.4080501	2.3862	3.72245	3.7799501	1.811	1.8082	1.9677999	-1.4922	0.6891	-0.47567973	0.78965	0.4257	0.5714	2.2378001	0.66065	0.76571184	1.0354788	0.5098743	2.0534	2.5002	-0.573	1.73
SOX15	1.2719054	0.3697	0.3855	6.6608467	1.7334683	0.12737861	4.8592	0.5858	0.91255	0.9950693	-2.9532	2.0682	-4.0441	2.2344	2.716781	1.3668499	1.4807	0.9313	-2.0226	2.022	0.4535	0.8305	-0.51345	3.300746	0.7517232	1.3757	-0.2195	1.9135	0.8823935	1.5789	-1.5528387	1.6154258	0.518	-2.0419	-1.4189	-3.7618	6.4931	2.64215	2.3299499	2.4382	-0.581	1.1676	1.8465	-3.834	0.14850003	1.88995	-1.7673	-0.8881	0.13495001	2.41425	3.6135998	0.9320599	2.9454	3.59065	1.4872	1.4911001	2.0553	2.195104	1.8553196	1.7831498	-0.1356	0.0619	0.5626	-0.2117
PNPLA3	-0.6764815	2.6283	1.7581	1.7035044	-1.702217	1.4220501	0.8256	1.5388	-0.3963	2.5039952	0.2158	1.0231	0.1583	0.354	-0.79741335	5.61945	0.07860002	-2.2165	0.6784	-1.53695	-1.1465	-0.7817	0.28265	1.3527366	0.27033436	-1.3633	1.2121	3.0832	-1.4120973	-0.32505	-1.1063949	-0.8128097	1.918	1.2458	-0.4163	0.1047	0.0644	-0.19480002	0.85745	2.3112	-1.7918	-1.5383	-0.00075006485	3.4594	0.9496	2.71085	-0.3885	-2.1619	-1.48595	-0.40240002	2.43195	0.06329941	0.8114	0.47095	1.6098	1.03105	0.53025	1.1836082	0.49241593	2.0824301	4.2514	0.0845	-1.3863	0.5269
